Rank,Vehicle,Driver,Time,PS / KG
205,Aston Martin V12 Vantage S,unknown,07:52.0,573 / 1682
206,Alpina B4 Gran Coupe,Christian Gebhardt,07:52.1,495 / 1924
207,Toyota Supra (Mk V 340 PS),Christian Gebhardt,07:52.2,340 / 1521
208,Porsche Panamera Turbo S,Horst von Saurma,07:52.2,550 / 2003
209,BMW M2 Competition (F87),unknown,07:52.4,410 / 1615
210,Lotus Exige S (V6),Christian Gebhardt,07:53.0,350 / 1147
211,Jaguar F-Type R (facelift),unknown,07:53.2,570 / 1861
212,Alpina B3 (G20),Christian Gebhardt,07:53.3,468 / 1812
213,VW Golf R 20 Years,unknown,07:53.7,333 / 1525
214,Porsche 911 GT3 (996 facelift),unknown,07:54.0,380 / 1398
215,BMW M5 Competition (F10),unknown,07:54.0,575 / 1912
216,Mercedes-Benz CLK DTM,unknown,07:54.0,582 / 1679
217,Renault Megane RS 275 Trophy R,unknown,07:54.4,279 / 1307
218,Porsche Cayman S (981),Walter Rohrl,07:55.0,325 / 1403
219,BMW Z4 M40i (G29),unknown,07:55.0,340 / 1582
220,Caterham R500 1.8L K Series,Robert Nearn,07:55.0,233 / 450
221,Mercedes-Benz E 63 AMG S,Horst von Saurma,07:55.0,585 / 1966
222,Renault Megane RS Trophy R,Christian Gebhardt,07:55.0,300 / 1314
223,Ferrari F430,unknown,07:55.0,490 / 1497
224,BMW M5 (F10),unknown,07:55.0,560 / 1929
225,Porsche 911 Turbo (996),unknown,07:56.0,420 / 1574
226,Porsche Panamera Turbo,Walter Rohrl,07:56.0,500 / 1980
227,Chevrolet Corvette C5 Z06,Dave Hill,07:56.0,411 / 1419
228,Ferrari California GT,unknown,07:56.0,460 / 1790
229,Porsche 911 Carrera S (997),unknown,07:56.0,355 / 1473
230,Ferrari 360 CS,unknown,07:56.0,425 / 1333
231,Alpine A110 S (Mk II 292 PS),Christian Gebhardt,07:56.1,292 / 1135
232,SLS AMG Coupe Electric Drive,unknown,07:56.2,751 / 2095
233,Porsche 911 GT3 (996),Walter Rohrl,07:56.3,360 / 1372
234,Honda NSX-R (facelift),Motoharu Kurosawa,07:56.7,294 / 1261
235,Honda Civic Type R (FL5),unknown,07:57.0,330 / 1431
236,Audi RS4 (B7),Frank Stippler,07:58.0,420 / 1729
237,BMW M2 (F87),unknown,07:58.0,370 / 1559
238,Porsche Boxster S (981),unknown,07:58.0,315 / 1408
239,Ford Mustang Mach 1,Christian Gebhardt,07:58.3,487 / 1753
240,Seat Leon Cupra 280 (Mk III),Jordi Gene,07:58.4,280 / 1351
241,BMW M240i XDrive,Christian Gebhardt,07:58.6,374 / 1737
242,Cupra Formentor VZ5,Christian Gebhardt,07:59.0,390 / 1636
243,Audi RS4 Avant (B9),Christian Gebhardt,07:59.0,450 / 1807
244,Audi RS5 (8T3 facelift),Horst von Saurma,07:59.0,450 / 1770
245,Lotus Evora 400,unknown,07:59.0,406 / 1440
246,Chevrolet Corvette C6,unknown,07:59.0,405 / 1486
247,Dodge Viper SRT-10,unknown,07:59.0,506 / 1562
248,Jaguar XKR-S Convertible,Sascha Bert,07:59.0,550 / 1897
249,Mercedes-Benz CLS 63 AMG,unknown,07:59.0,557 / 1919
250,Audi RS5 (8T3),Horst Von Saurma,07:59.0,450 / 1781
251,Porsche 911 Carrera S (997),Walter Rohrl,07:59.0,355 / 1473
252,Cadillac CTS-V (Mk II),John Heinricy,07:59.3,564 / 1956
253,Nissan Skyline GT-R (R33),Dirk Schoysman,07:59.9,280 / 1601
254,Alpina B4 S Biturbo Coupé AWD,unknown,08:00.0,440 / 1731
255,Nissan Skyline GT-R (R33),Motoharu Kurosawa,08:01.0,280 / 1601
256,Bugatti EB 110 SS (US spec),unknown,08:01.0,600 / 1735
257,Honda Civic Type R (FK8),unknown,08:01.0,320 / 1405
